trecho,ocorrencias
AMADO,28829
AMADOR,28748
AMALIA,38801
AMANAJAS,2102
AMANCIA,2297
AMANCIO,104433
AMANDA,423197
AMANDIO,6429
AMANDO,4011
AMANO,1142
AMANTE,1612
AMANTINA,1111
AMANTINO,5940
AMARA,33976
AMARAL,632056
AMARANTE,31171
AMARANTES,1283
AMARILDA,1848
AMARILDO,48250
AMARILHA,1726
AMARILHO,1250
AMARILIO,3399
AMARILIS,1484
AMARILLA,1397
AMARINA,1708
AMARINO,1161
AMARIO,2795
AMARO,211936
AMATO,3987
AMAURI,51002
AMAURILIO,1279
AMAURY,13238
AMAVEL,1101
AMAZONAS,8656
AMBONI,1088
AMBOS,1543
AMBROSI,1149
AMBROSIA,2391
AMBROSINA,9158
AMBROSINI,1046
AMBROSINO,1086
AMBROSIO,54475
AMBROZINA,4069
AMBROZIO,10900
AMELIA,182362
AMELIO,8336
AMENAIDE,1103
AMENDOLA,2306
AMENO,1103
AMERICA,14055
AMERICANO,3380
AMERICO,97680
AMES,1212
AMICO,1500
AMIGO,1268
AMILCAR,5747
AMILSON,2258
AMILTO,1301
AMILTON,50123
AMIM,2117
AMIN,2399
AMINTAS,2228
AMIR,4003
AMIRALDO,1401
AMOEDO,3193
AMON,1566
AMOR,16224
AMORA,4566
AMORAS,3794
AMORIM,598457
AMORIN,7247
AMOROSO,2718
AMOS,5169
AMPARO,37669
AMURIM,2869
ANA,2981612
ANABEL,2420
ANABELA,1335
ANACLETA,3238
ANACLETO,49514
ANADIR,7604
ANAEL,2076
ANAI,1050
ANAIDE,3568
ANAIDES,1292
ANAILDA,2054
ANAILDE,3199
ANAILDES,2495
ANAILDO,1208
ANAILSON,2582
ANAILTON,5614
ANAILZA,1936
ANAIR,10332
ANAISA,1030
ANAIZA,1235
ANALI,1018
ANALIA,42957
ANALICE,17077
ANALINA,1322
ANALINE,1069
ANALIO,1100
ANALU,2495
ANALUCIA,1817
ANAMARIA,2200
ANANDA,10592
ANANIAS,67006
ANASTACIA,13142
ANASTACIO,60992
ANATALIA,9526
ANATALIO,1006
ANATILDE,1187
ANATOLIO,1890
ANAYA,1009
ANCELMO,15539
ANCHIETA,17680
ANDER,1031
ANDERLE,1527
ANDERS,1123
ANDERSEN,2353
ANDERSON,578372
ANDERSSON,2267
ANDESON,1415
ANDIARA,3103
ANDO,1653
ANDRA,1295
ANDRADA,2902
ANDRADE,1964873
ANDRADES,9286
ANDRE,907200
ANDREA,278178
ANDREANE,1386
ANDREAS,4128
ANDREASSA,1546
ANDREATA,1892
ANDREATTA,4317
ANDREAZZA,1822
ANDREAZZI,1013
ANDREI,24104
ANDREIA,320594
ANDREILSON,1298
ANDREINA,8004
ANDREIS,2575
ANDRELINA,17014
ANDRELINO,9990
ANDREO,2727
ANDREOLA,2151
ANDREOLI,3789
ANDREOLLI,1380
ANDREONI,1065
ANDREOTTI,3718
ANDRES,21899
ANDRESA,28108
ANDRESON,3608
ANDRESSA,192568
ANDRESSON,1353
ANDRETTA,3439
ANDREW,15217
ANDREWS,4286
ANDREY,24887
ANDREYNA,1718
ANDREZA,96764
ANDREZZA,9461
ANDRIA,3266
ANDRIANI,1486
ANDRIEL,2376
ANDRIELE,11280
ANDRIELI,7988
ANDRIELLE,4025
ANDRIELLI,1678
ANDRIELLY,4262
ANDRIELY,2389
ANDRIGHETTI,1041
ANDRIGO,1676
ANDRINO,1436
ANDRIO,1514
ANDRIOLA,1384
ANDRIOLI,3867
ANDRIOLLI,1233
ANDRIOTTI,2013
ANDSON,3018
ANE,17806
ANECI,1230
ANEDINA,2036
ANELI,2904
ANELIA,1322
ANELICE,1277
ANELINA,1223
ANELIO,1282
ANELISE,8461
ANELITA,5148
ANELITO,1100
ANELIZE,1750
ANES,1545
ANESIA,12738
ANESIO,14119
ANESTOR,1902
ANETE,8074
ANEZIA,8711
ANEZIO,7467
ANFRISIO,1004
ANGEL,18322
ANGELA,385504
ANGELES,4249
ANGELI,10126
ANGELICA,226693
ANGELICO,4540
ANGELIM,8577
ANGELIN,3496
ANGELINA,84910
ANGELINE,1281
ANGELINI,2423
ANGELINO,15405
ANGELIS,5432
ANGELITA,46965
ANGELITO,1129
ANGELO,250215
ANGELONI,1114
ANGELOS,1200
ANGELOTTI,1371
ANGELUCIA,1188
ANGRA,2408
ANGULO,1575
ANHAIA,7298
ANI,2202
ANIBAL,27198
ANICE,2644
ANICESIO,1248
ANICETA,1907
ANICETO,22018
ANICIO,3565
ANIEL,1281
ANIELE,4279
ANIELI,1138
ANIELLE,2025
ANIELLY,1516
ANIELY,1159
ANILDA,5413
ANILDO,8784
